MessageID|PersonaID|PersonID|PlatformID|MessageID|TimeOfMessage|Latitude|Longitude|Message|Provenance
0||doclourda|Twitter|0|3/3/2016 7:06:46 PM|||RT @NHSChoices: Norovirus is affecting schools in some parts of the UK. Find our guide for teachers here: https://t.co/k0X3yRTcH3 https://t…|q=%norovirus&count=100
0||guymetropolis|Twitter|0|3/3/2016 7:00:07 PM|||#Canada. #Norovirus-driven gastroenteritis in #Quebec more common after start of #rotavirus vaccine https://t.co/B9Y1g5H8OT|q=%norovirus&count=100
0||labovm|Twitter|0|3/3/2016 6:54:36 PM|||@khaleesbian no tg, just the norovirus, everyone in my house has it now|q=%norovirus&count=100
0||NorovirusNews|Twitter|0|3/3/2016 6:52:32 PM|||Montvale Elementary closed on Friday due to norovirus outbreak - WSLS https://t.co/gSc4gZ9zS3 #norovirus|q=%norovirus&count=100
0||NorovirusNews|Twitter|0|3/3/2016 6:52:31 PM|||NoroVirus: What you Need to Know - UC Berkeley https://t.co/hxCrckOJt0 #norovirus|q=%norovirus&count=100
0||KirstoRabbit25|Twitter|0|3/3/2016 6:47:52 PM|||RT @NHSChoices: Norovirus is affecting schools in some parts of the UK. Find our guide for teachers here: https://t.co/k0X3yRTcH3 https://t…|q=%norovirus&count=100
0||cbc_services|Twitter|0|3/3/2016 6:47:35 PM|||RT @NHSChoices: Norovirus is affecting schools in some parts of the UK. Find our guide for teachers here: https://t.co/k0X3yRTcH3 https://t…|q=%norovirus&count=100
0||groovygroupies|Twitter|0|3/3/2016 6:41:44 PM|||@xkillyouridols if she had norovirus she couldnt eat ANYTHING though i couldnt even DRINK|q=%norovirus&count=100
0||JenMullins_IM|Twitter|0|3/3/2016 6:40:53 PM|||RT @irwinmitchell: Travel injury expert @JenMullins_IM on #AnthemsOfTheSeas #Cruise standards  https://t.co/BE8Xj1fuhe #Norovirus https://t…|q=%norovirus&count=100
0||North_Warks_BC|Twitter|0|3/3/2016 6:26:43 PM|||RT @NHSChoices: Norovirus is affecting schools in some parts of the UK. Find our guide for teachers here: https://t.co/k0X3yRTcH3 https://t…|q=%norovirus&count=100
0||early_learner|Twitter|0|3/3/2016 6:26:23 PM|||RT @NHSChoices: Suspected #Norovirus outbreaks are currently affecting areas of England. Info on treatment: https://t.co/TMo6tmiBLo https:/…|q=%norovirus&count=100
